Order=(3, 0, 3), Seed=25, Evidence=-1069.178145939026, Error=0.22277028017020575, V=1.0, MaxLogL=-1037.552734375, BIC=2136.0593677467427, D0Occam=-2.84342320283433, NetPriorVolume=-2.84342320283433, Posterior=-6.2669071016700855
Order=(3, 0, 4), Seed=25, Evidence=-1069.0640831346184, Error=0.21736881994773855, V=1.0, MaxLogL=-1035.8677978515625, BIC=2138.230758245026, D0Occam=-2.4774610466423255, NetPriorVolume=-2.4774610466423255, Posterior=-6.152844297262391
Order=(3, 0, 5), Seed=25, Evidence=-1069.076755107544, Error=0.23226027552383396, V=1.0, MaxLogL=-1034.1226806640625, BIC=2140.2817874151847, D0Occam=-2.7272384127347555, NetPriorVolume=-2.7272384127347555, Posterior=-6.165516270187936
Order=(3, 0, 6), Seed=25, Evidence=-1072.1192529558675, Error=0.26173682596027725, V=1.0, MaxLogL=-1034.33056640625, BIC=2146.238822444718, D0Occam=-2.2843612385374024, NetPriorVolume=-2.2843612385374024, Posterior=-9.208014118511528
Order=(3, 0, 7), Seed=25, Evidence=-1074.5062633165169, Error=0.24623304146982766, V=1.0, MaxLogL=-1034.42138671875, BIC=2151.961726614876, D0Occam=-2.1812296288407547, NetPriorVolume=-2.1812296288407547, Posterior=-11.595024479160884
Order=(3, 0, 8), Seed=25, Evidence=-1072.7002564873421, Error=0.237661920124344, V=1.0, MaxLogL=-1032.6995849609375, BIC=2154.0593866444096, D0Occam=-2.340909030481889, NetPriorVolume=-2.340909030481889, Posterior=-9.789017649986135
Order=(3, 0, 9), Seed=25, Evidence=-1071.8132032223486, Error=0.22975177651948778, V=1.0, MaxLogL=-1032.34228515625, BIC=2158.886050580193, D0Occam=-2.040332366256348, NetPriorVolume=-2.040332366256348, Posterior=-8.901964384992652
Order=(3, 0, 10), Seed=25, Evidence=-1072.7165993988933, Error=0.2920948622733157, V=1.0, MaxLogL=-1032.633544921875, BIC=2165.0098336566016, D0Occam=-2.0797020273779325, NetPriorVolume=-2.0797020273779325, Posterior=-9.805360561537327
Order=(4, 0, 0), Seed=25, Evidence=-1071.7786596484057, Error=0.21279719988946763, V=1.0, MaxLogL=-1051.546875, BIC=2158.5063854515843, D0Occam=-1.5935053881905539, NetPriorVolume=-1.5935053881905539, Posterior=-8.86742081104967
Order=(4, 0, 1), Seed=25, Evidence=-1071.198250357936, Error=0.19994604703183627, V=1.0, MaxLogL=-1047.0635986328125, BIC=2155.0810962623677, D0Occam=-1.8894792688370685, NetPriorVolume=-1.8894792688370685, Posterior=-8.287011520580108
Order=(4, 0, 2), Seed=25, Evidence=-1068.9121300588752, Error=0.23265616100627662, V=1.0, MaxLogL=-1037.200439453125, BIC=2140.896041448151, D0Occam=-2.8000077174951765, NetPriorVolume=-2.8000077174951765, Posterior=-6.0008912215191685
Order=(4, 0, 3), Seed=25, Evidence=-1068.1149135488274, Error=0.2074139228431401, V=1.0, MaxLogL=-1037.727783203125, BIC=2147.4919924933097, D0Occam=-3.379553417678865, NetPriorVolume=-3.379553417678865, Posterior=-5.203674711471422
Order=(4, 0, 4), Seed=25, Evidence=-1065.229097604035, Error=0.24498674746262272, V=1.0, MaxLogL=-1034.53466796875, BIC=2146.647025569718, D0Occam=-3.17902541055438, NetPriorVolume=-3.17902541055438, Posterior=-2.31785876667891
Order=(4, 0, 5), Seed=25, Evidence=-1066.5631283242467, Error=0.22012645399190692, V=1.0, MaxLogL=-1034.1295166015625, BIC=2151.377986380501, D0Occam=-3.49719431367081, NetPriorVolume=-3.49719431367081, Posterior=-3.6518894868906955
Order=(4, 0, 6), Seed=25, Evidence=-1068.768808475637, Error=0.2399294970047701, V=1.0, MaxLogL=-1033.9810791015625, BIC=2156.6223749256596, D0Occam=-3.365653888049086, NetPriorVolume=-3.365653888049086, Posterior=-5.857569638280893
Order=(4, 0, 7), Seed=25, Evidence=-1070.6459382988887, Error=0.23567640234774315, V=1.0, MaxLogL=-1034.1221923828125, BIC=2162.445865033318, D0Occam=-3.746994549668575, NetPriorVolume=-3.746994549668575, Posterior=-7.734699461532728
Order=(4, 0, 8), Seed=25, Evidence=-1071.8435296293849, Error=0.2312480386404339, V=1.0, MaxLogL=-1032.94091796875, BIC=2165.6245797503516, D0Occam=-3.05198240930171, NetPriorVolume=-3.05198240930171, Posterior=-8.93229079202888
Order=(4, 0, 9), Seed=25, Evidence=-1071.56520508901, Error=0.2660711597548, V=1.0, MaxLogL=-1031.8651123046875, BIC=2169.014231967385, D0Occam=-2.43531839752575, NetPriorVolume=-2.43531839752575, Posterior=-8.653966251654083
Order=(4, 0, 10), Seed=25, Evidence=-1072.7649594510954, Error=0.2471699726124108, V=1.0, MaxLogL=-1031.4466552734375, BIC=2173.7185814500435, D0Occam=-2.334479676790762, NetPriorVolume=-2.334479676790762, Posterior=-9.85372061373937
Order=(5, 0, 0), Seed=25, Evidence=-1073.870212999299, Error=0.17996658019225084, V=1.0, MaxLogL=-1050.8828125, BIC=2168.260787541901, D0Occam=-1.6110114562798898, NetPriorVolume=-1.6110114562798898, Posterior=-10.958974161942933
Order=(5, 0, 1), Seed=25, Evidence=-1073.1406260905485, Error=0.21734436154483483, V=1.0, MaxLogL=-1046.4140625, BIC=2164.8645510870597, D0Occam=-1.8747289973824126, NetPriorVolume=-1.8747289973824126, Posterior=-10.229387253192499
Order=(5, 0, 2), Seed=25, Evidence=-1070.4825036106952, Error=0.2083028103102419, V=1.0, MaxLogL=-1037.29638671875, BIC=2152.170463069718, D0Occam=-2.642542971321778, NetPriorVolume=-2.642542971321778, Posterior=-7.5712647733391805
Order=(5, 0, 3), Seed=25, Evidence=-1067.8569551822225, Error=0.2551477107931372, V=1.0, MaxLogL=-1035.8392333984375, BIC=2154.797419974251, D0Occam=-3.90608293535001, NetPriorVolume=-3.90608293535001, Posterior=-4.945716344866469
Order=(5, 0, 4), Seed=25, Evidence=-1064.5863037078188, Error=0.2320179253391211, V=1.0, MaxLogL=-1029.831298828125, BIC=2148.3228143787846, D0Occam=-2.903014714305681, NetPriorVolume=-2.903014714305681, Posterior=-1.6750648704628475
Order=(5, 0, 5), Seed=25, Evidence=-1067.0535052191378, Error=0.2645916291684489, V=1.0, MaxLogL=-1028.51416015625, BIC=2151.229800580193, D0Occam=-3.1292120080363532, NetPriorVolume=-3.1292120080363532, Posterior=-4.1422663817818375
Order=(5, 0, 6), Seed=25, Evidence=-1067.8379609305998, Error=0.24877914697186962, V=1.0, MaxLogL=-1028.62548828125, BIC=2156.9937203753516, D0Occam=-3.3292848250192275, NetPriorVolume=-3.3292848250192275, Posterior=-4.926722093243825
Order=(5, 0, 7), Seed=25, Evidence=-1069.5371270822122, Error=0.2634736615998342, V=1.0, MaxLogL=-1028.3221435546875, BIC=2161.928294467385, D0Occam=-3.4835598726197943, NetPriorVolume=-3.4835598726197943, Posterior=-6.625888244856242
Order=(5, 0, 8), Seed=25, Evidence=-1071.2276133948192, Error=0.2511335003763223, V=1.0, MaxLogL=-1027.4617919921875, BIC=2165.7488548875435, D0Occam=-3.31305916632539, NetPriorVolume=-3.31305916632539, Posterior=-8.316374557463178
Order=(5, 0, 9), Seed=25, Evidence=-1071.1272085052478, Error=0.27366951907103, V=1.0, MaxLogL=-1026.200927734375, BIC=2168.768389917077, D0Occam=-2.8009968529741176, NetPriorVolume=-2.8009968529741176, Posterior=-8.21596966789184
Order=(5, 0, 10), Seed=25, Evidence=-1072.439008122472, Error=0.25032939644677465, V=1.0, MaxLogL=-1025.9112548828125, BIC=2173.7303077591105, D0Occam=-2.748394706887812, NetPriorVolume=-2.748394706887812, Posterior=-9.527769285115937
Order=(6, 0, 0), Seed=25, Evidence=-1073.2228784794065, Error=0.19739025916855862, V=1.0, MaxLogL=-1047.4232177734375, BIC=2172.424125179093, D0Occam=-1.8295419900374994, NetPriorVolume=-1.8295419900374994, Posterior=-10.311639642050523
Order=(6, 0, 1), Seed=25, Evidence=-1066.4441291164037, Error=0.20866295291529338, V=1.0, MaxLogL=-1037.39453125, BIC=2157.908015677376, D0Occam=-2.306506523696712, NetPriorVolume=-2.306506523696712, Posterior=-3.532890279047706
Order=(6, 0, 2), Seed=25, Evidence=-1066.177680646243, Error=0.23945631626207575, V=1.0, MaxLogL=-1033.4881591796875, BIC=2155.6365350819096, D0Occam=-2.257023559923476, NetPriorVolume=-2.257023559923476, Posterior=-3.266441808887066
Order=(6, 0, 3), Seed=25, Evidence=-1066.7054838947345, Error=0.2177058493222144, V=1.0, MaxLogL=-1033.4404296875, BIC=2161.082339642693, D0Occam=-2.6801791521722897, NetPriorVolume=-2.6801791521722897, Posterior=-3.7942450573784754
Order=(6, 0, 4), Seed=25, Evidence=-1066.948475921904, Error=0.24477103360055627, V=1.0, MaxLogL=-1028.3033447265625, BIC=2156.3494332659766, D0Occam=-3.2120527757601596, NetPriorVolume=-3.2120527757601596, Posterior=-4.037237084547996
Order=(6, 0, 5), Seed=25, Evidence=-1066.4667418875706, Error=0.20006820975237216, V=1.0, MaxLogL=-1030.0728759765625, BIC=2165.429759311135, D0Occam=-3.314060203666685, NetPriorVolume=-3.314060203666685, Posterior=-3.555503050214611
Order=(6, 0, 6), Seed=25, Evidence=-1068.1484990730792, Error=0.22586271420005133, V=1.0, MaxLogL=-1030.1785888671875, BIC=2171.1824486375435, D0Occam=-3.374104715417181, NetPriorVolume=-3.374104715417181, Posterior=-5.23726023572317
Order=(6, 0, 7), Seed=25, Evidence=-1069.6082208975602, Error=0.2164120176187535, V=1.0, MaxLogL=-1029.4727783203125, BIC=2175.312091088952, D0Occam=-3.4311925826938934, NetPriorVolume=-3.4311925826938934, Posterior=-6.696982060204164
Order=(6, 0, 8), Seed=25, Evidence=-1070.6870899539324, Error=0.26591544938405864, V=1.0, MaxLogL=-1027.4010009765625, BIC=2176.7097999466105, D0Occam=-3.615643693588965, NetPriorVolume=-3.615643693588965, Posterior=-7.775851116576405
Order=(6, 0, 9), Seed=25, Evidence=-1071.0699556479033, Error=0.27212514185860626, V=1.0, MaxLogL=-1026.8822021484375, BIC=2181.213465835519, D0Occam=-2.9979561592861885, NetPriorVolume=-2.9979561592861885, Posterior=-8.158716810547276
Order=(6, 0, 10), Seed=25, Evidence=-1072.1586508396047, Error=0.2660997333789745, V=1.0, MaxLogL=-1025.32421875, BIC=2183.6387625838024, D0Occam=-3.0166323975290785, NetPriorVolume=-3.0166323975290785, Posterior=-9.247412002248666
Order=(7, 0, 0), Seed=25, Evidence=-1070.0304074105727, Error=0.22045960535070014, V=1.0, MaxLogL=-1041.47216796875, BIC=2171.6045526600346, D0Occam=-2.0645828482572, NetPriorVolume=-2.0645828482572, Posterior=-7.119168573216712
Order=(7, 0, 1), Seed=25, Evidence=-1065.8178581470322, Error=0.22951365966600476, V=1.0, MaxLogL=-1034.759521484375, BIC=2163.720523236443, D0Occam=-2.2495932314557505, NetPriorVolume=-2.2495932314557505, Posterior=-2.9066193096762163
