,,phi_1,theta_1,sigma,mu,init_y_1,logL,logL_birth,nlive
labels,,$\phi_1$,$\theta_1$,$\sigma$,$\mu$,$y_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,
128,0.0,0.8097807,-0.6967567,6.1880217,2.5594494,1.865865,-4.685114e+07,,472
129,0.0,-0.35132828,-0.19460219,11.151248,1.6898699,0.9699068,-4.4895356e+07,,471
130,0.0,-0.78393847,-0.03444378,13.060682,1.7275037,-0.2888748,-4.150553e+07,,470
131,0.0,-0.9046933,0.36938885,18.463493,3.2350848,1.786159,-4.1278564e+07,,469
132,0.0,-0.37925878,-0.39674917,8.958188,0.9406741,0.9219054,-3.9988036e+07,,468
133,0.0,-0.5960034,-0.83342755,9.831098,0.24707606,-0.5446676,-3.9975896e+07,-7.953328e+07,467
134,0.0,0.34213707,-0.7108411,6.072789,0.64066297,0.5139274,-3.9879916e+07,,466
135,0.0,-0.8669202,-0.2585178,11.829843,1.1246545,1.6558678,-3.974218e+07,-3.47365e+08,465
136,0.0,0.5504575,-0.4571762,8.352471,2.4035795,1.6993669,-3.9472464e+07,,464
137,0.0,0.30569068,-0.74838334,5.7722116,0.49915725,1.5723544,-3.9449936e+07,,463
138,0.0,0.47644618,-0.45910433,9.662806,2.3191319,1.2010603,-3.7480388e+07,-3.47365e+08,462
139,0.0,0.27718157,-0.5587887,7.3876853,1.036345,0.885974,-3.6639384e+07,,461
140,0.0,-0.87244713,0.3380301,12.264745,1.9903791,1.1151212,-3.5843484e+07,-7.953328e+07,460
141,0.0,0.41538912,-0.675563,6.363955,0.7964429,1.6875377,-3.5302348e+07,,459
142,0.0,0.29768735,-0.22056775,10.855614,2.7147222,0.44161355,-3.5273628e+07,,458
143,0.0,0.44507918,-0.5230958,7.7188134,1.4942125,1.6377844,-3.524596e+07,,457
144,0.0,0.076641776,-0.67297673,6.385632,0.5071782,-0.0076384917,-3.4813852e+07,,456
145,0.0,-0.57602835,0.06891961,11.043606,1.6739385,0.30804804,-3.4710856e+07,-3.47365e+08,455
146,0.0,0.0008639442,-0.25307867,10.491132,1.7238053,3.0773294,-3.3553062e+07,,454
147,0.0,-0.8764813,-0.016660428,14.189779,1.6333048,0.6347143,-3.3518416e+07,-3.47365e+08,453
148,0.0,-0.7147478,-0.19384493,4.167436,0.42824897,0.72575635,-3.31405e+07,-7.953328e+07,452
149,0.0,0.56591535,-0.5976458,7.036858,1.4066066,1.34511,-3.2306556e+07,,451
150,0.0,-0.4519212,-0.5926605,9.588811,0.5800729,0.52024364,-3.2206848e+07,-3.47365e+08,500
151,0.0,-0.67156124,-0.26222762,10.38971,0.9834041,2.3886802,-3.188192e+07,,499
152,0.0,0.19624278,-0.6341183,6.7167797,0.64467436,1.2110112,-3.082043e+07,,498
153,0.0,0.05584862,-0.4368564,8.553524,1.0746813,1.0820448,-3.0796444e+07,,497
154,0.0,-0.36429566,-0.32388842,9.719533,1.0129288,0.8666637,-3.0693186e+07,,496
155,0.0,0.68358445,-0.6524112,7.312831,1.6767209,0.6814227,-3.0220248e+07,-3.2306556e+07,495
156,0.0,-0.8685243,0.0051162955,16.403505,1.8297662,0.14151949,-2.9884884e+07,-7.953328e+07,494
157,0.0,-0.3461802,-0.5785534,7.2079744,-0.46624872,-0.8048924,-2.9573774e+07,,493
158,0.0,0.13147445,-0.88904285,5.0972595,0.13094348,0.60033333,-2.7706984e+07,-3.47365e+08,492
159,0.0,-0.7652513,0.35690144,18.285208,2.7958908,0.02134522,-2.7515452e+07,,491
160,0.0,-0.6622732,0.25018948,16.788986,2.439001,-1.0416584,-2.595011e+07,,490
161,0.0,-0.36531126,0.16497712,15.631052,2.5729456,-0.4761448,-2.5874858e+07,,489
162,0.0,0.4855613,-0.59919626,7.02307,1.0563254,-0.32084006,-2.5815206e+07,,488
163,0.0,0.36259472,-0.1841124,11.2718115,2.7756732,0.70008343,-2.571912e+07,,487
164,0.0,0.17116842,-0.93941945,4.390638,0.06250541,0.58336866,-2.5677888e+07,,486
165,0.0,-0.38347912,-0.04768051,12.89743,1.7069029,1.7440903,-2.567567e+07,,485
