,,theta_1,theta_2,sigma,mu,logL,logL_birth,nlive
labels,,$\theta_1$,$\theta_2$,$\sigma$,$\mu$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,
156,0.0,-0.6331026,-0.060704116,4.9357824,1.488775,-9.828874e+07,-2.7165802e+08,994
157,0.0,-0.11232354,-0.4890599,8.042423,-3.1326435,-9.6623864e+07,,993
158,0.0,-0.2545125,-0.068559326,6.0546856,3.9815063,-9.622325e+07,-1.0384424e+08,992
159,0.0,0.35668305,-0.3306553,9.647417,9.574203,-9.548989e+07,,991
160,0.0,-0.23140527,-0.47866294,7.2161307,-2.0365176,-9.541624e+07,-2.7165802e+08,990
161,0.0,-0.14744249,-0.17223693,11.409079,-7.498731,-9.512371e+07,,989
162,0.0,-1.1568396,0.49364567,20.271912,6.5686145,-9.4401416e+07,,988
163,0.0,0.14109287,-0.47142506,8.213089,5.2568607,-9.2945736e+07,,987
164,0.0,0.076641776,-0.67297673,6.385632,-2.464109,-9.2339144e+07,,986
165,0.0,-0.08585788,-0.22592711,7.7291245,-5.062481,-9.229271e+07,-1.1908009e+09,985
166,0.0,-0.6063527,-0.35313767,9.409877,0.38375434,-9.215801e+07,,984
167,0.0,0.24785036,-0.28206542,10.171549,-9.257381,-9.0633656e+07,,983
168,0.0,-0.15258798,-0.18684258,11.240372,-6.958607,-8.9490264e+07,,982
169,0.0,0.08958537,-0.29436013,10.03755,-7.4662323,-8.9198e+07,,981
170,0.0,0.0996649,-0.74529344,5.79659,-1.9291011,-8.887123e+07,,980
171,0.0,-1.3307213,0.6538261,22.688807,6.802868,-8.7966744e+07,,979
172,0.0,-0.43076026,-0.12858404,11.920689,4.887336,-8.796222e+07,,978
173,0.0,-0.22422798,-0.10321433,12.223032,-7.634559,-8.792677e+07,,977
174,0.0,-0.069709435,-0.33988512,9.549514,5.2052283,-8.669944e+07,,976
175,0.0,0.18218327,-0.44614592,8.461276,-5.7312512,-8.623763e+07,,975
176,0.0,0.17461765,-0.40134317,8.720639,6.19413,-8.596035e+07,-1.1908009e+09,974
177,0.0,-0.23266721,-0.19373804,11.161156,5.8248067,-8.426075e+07,,973
178,0.0,-0.23339768,-0.21720967,10.893623,-5.3932357,-8.261821e+07,,972
179,0.0,-0.45490304,-0.20986144,10.977028,3.296751,-8.125399e+07,,971
180,0.0,0.10959234,-0.10843589,11.904467,10.554204,-8.009677e+07,-1.1908009e+09,970
181,0.0,-1.041481,0.08109298,14.525171,-0.52200365,-7.768844e+07,,969
182,0.0,-0.23785518,-0.23746575,10.665377,4.8710437,-7.70495e+07,,968
183,0.0,0.13080716,-0.281378,10.179068,-7.4497085,-7.571491e+07,,967
184,0.0,-0.93456346,0.41971457,19.188513,-7.9934,-7.52807e+07,,966
185,0.0,0.41597486,-0.5129109,7.814849,6.0439796,-7.476187e+07,,965
186,0.0,0.15168671,-0.101073384,10.859865,-9.726277,-7.424017e+07,-1.0384424e+08,964
187,0.0,0.47823203,-0.43418404,8.580164,-7.6075835,-7.3593624e+07,,963
188,0.0,0.25667584,-0.29392767,10.042247,-8.187675,-7.31914e+07,,962
189,0.0,0.003417925,-0.27608624,5.5729723,3.4255702,-7.277999e+07,-2.7165802e+08,961
190,0.0,-0.32159707,-0.10357153,12.218748,5.8908668,-7.1641736e+07,,960
191,0.0,-1.6557302,0.71605027,22.648615,-1.1478995,-7.119825e+07,-2.7165802e+08,959
192,0.0,-0.7652513,0.35690144,18.285208,8.979454,-7.0371064e+07,,958
193,0.0,0.21294965,-0.3786311,9.144372,-6.275797,-6.897937e+07,,957
194,0.0,-0.27562138,0.006821439,13.575679,-8.112901,-6.8165496e+07,,956
195,0.0,-0.4944632,0.010638927,13.623781,-5.730364,-6.7627816e+07,,955
196,0.0,0.13269195,-0.16045561,11.54607,-9.111114,-6.7265176e+07,,954
197,0.0,-0.41673627,-0.2757465,10.24078,2.5225337,-6.4831064e+07,,953
198,0.0,0.18940884,-0.60750586,6.9494443,-3.1966827,-6.345194e+07,,952
199,0.0,-0.343027,0.06724578,14.345989,8.148721,-6.279057e+07,,951
200,0.0,0.42151627,-0.56052953,7.3717527,4.9353666,-6.160391e+07,,1000
201,0.0,-0.06412708,-0.18820234,12.968303,-7.505225,-6.1093652e+07,-2.7165802e+08,999
202,0.0,-0.7224513,0.38472778,18.683374,9.539751,-6.075114e+07,,998
203,0.0,-0.051504645,-0.42600352,8.662002,3.484659,-6.0203616e+07,,997
204,0.0,-0.31534272,-0.04918442,9.009285,4.398284,-6.016535e+07,-6.279057e+07,996
205,0.0,0.6732373,0.1501141,0.9511135,1.312809,-5.8628056e+07,-6.279057e+07,995
206,0.0,-0.7822598,0.42297846,19.235888,-9.320347,-5.8454884e+07,,994
207,0.0,-0.10811137,-0.67905045,6.3347955,1.0277823,-5.7939176e+07,,993
208,0.0,-0.2489914,0.12978163,15.162838,-9.970245,-5.694902e+07,,992
209,0.0,0.12593317,-0.30169865,9.555063,5.88265,-5.6891076e+07,-2.7165802e+08,991
210,0.0,0.29768735,-0.22056775,10.855614,8.57361,-5.490915e+07,,990
211,0.0,-0.6622732,0.25018948,16.788986,7.195006,-5.4240348e+07,,989
212,0.0,-0.70431405,0.19705103,16.062914,5.769001,-5.4164932e+07,,988
