,,phi_1,theta_1,theta_2,theta_3,sigma,mu,init_y_1,logL,logL_birth,nlive
labels,,$\phi_1$,$\theta_1$,$\theta_2$,$\theta_3$,$\sigma$,$\mu$,$y_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,
113,0.0,0.1150449,-0.6124932,-0.5458649,0.23043168,6.905479,-1.4802077,7.6085124,-6.7161984e+08,,987
114,0.0,0.49298528,0.015476536,-0.3417181,-0.6042837,13.684849,-5.1054206,-8.312091,-6.698815e+08,,986
115,0.0,-0.7620528,-0.5362473,-0.20993476,0.36404264,7.59582,6.686082,-1.4063118,-6.445659e+08,,985
116,0.0,-0.12336827,0.056474432,-0.17768274,-0.8291569,14.207289,1.7442712,-1.7332838,-6.4346464e+08,,984
117,0.0,-0.71209663,-0.7851092,0.14462967,-0.033856567,5.4874344,-2.5556853,-2.2405224,-6.077986e+08,,983
118,0.0,-0.2846613,-0.5606195,-0.52179605,0.8054996,4.5190578,6.177482,-0.67950326,-6.050971e+08,-8.930491e+08,982
119,0.0,0.63949764,-0.9376347,-0.15977278,0.22782573,4.402408,3.8413384,4.1826525,-5.8921306e+08,,981
120,0.0,-0.10631139,-0.53316015,-0.30880317,0.30581442,10.07823,10.13972,2.5812948,-5.8723494e+08,-4.67956e+09,980
121,0.0,-0.61404866,-0.13859543,-0.46798334,-0.27045998,11.802387,-2.2092915,-2.0345833,-5.833533e+08,,979
122,0.0,-0.4997262,-0.6832412,0.10879683,0.14905505,6.299865,-5.762226,-7.502515,-5.8132845e+08,,978
123,0.0,0.30777225,0.14689954,-0.68780357,-0.40748125,15.38981,-2.9803753,-2.6094987,-5.8116563e+08,,977
124,0.0,0.00075248675,-1.1263735,0.84704334,-0.111251,3.2734396,4.750014,-9.283993,-5.791893e+08,,976
125,0.0,0.43726224,-1.2421726,0.96343595,-0.33373496,2.6925483,-4.3676248,5.0928416,-5.634632e+08,,975
126,0.0,0.399413,-1.2065793,1.0155529,-0.08126702,2.8623886,-7.8825355,-4.4441175,-5.299719e+08,,974
127,0.0,-0.5315214,-0.5710953,-0.6491896,0.5910347,7.2754807,3.9681873,5.337746,-5.1733142e+08,,973
128,0.0,0.63230515,-1.6169463,1.0318022,-0.3283264,1.3282969,-0.71246755,0.78888947,-5.157241e+08,,972
129,0.0,-0.8792726,0.075659126,0.14854956,-0.67836237,14.4547415,9.382134,5.0719533,-5.043054e+08,,971
130,0.0,-0.085173465,-0.41931015,-0.65793735,0.15515769,8.729285,-1.337266,-3.5161939,-4.3861805e+08,,970
131,0.0,-0.09001306,-0.5809784,0.14826497,-0.21611208,7.1861057,4.674992,6.458207,-4.125494e+08,,969
132,0.0,0.59297657,-0.25738728,-0.192071,-0.525766,10.443305,-1.5015959,-0.5135483,-4.1070122e+08,,968
133,0.0,0.20593216,-1.3224015,0.6992128,0.11176741,2.337085,-2.8808072,11.334023,-4.098215e+08,,967
134,0.0,-0.5900598,-0.62842023,-0.46272784,0.6161237,6.766195,4.4673133,5.423461,-4.087535e+08,,966
135,0.0,-0.97982866,-0.3416671,-0.3440318,0.37111977,9.530674,6.5798035,4.723728,-4.059774e+08,,965
136,0.0,-0.852245,0.02244852,-0.4291759,-0.5025107,13.773075,1.4082929,7.7845163,-4.018292e+08,,964
137,0.0,-0.7185289,-0.60664076,0.9145833,-0.68869996,6.9570885,4.8643937,-5.290414,-3.8347923e+08,,963
138,0.0,0.032106213,-1.1855524,0.64869887,0.24061842,2.966319,-4.159449,3.2188797,-3.815529e+08,,962
139,0.0,-0.36388218,-0.30964214,0.13174513,-0.58338207,9.87229,-3.3627799,-10.323409,-3.756813e+08,,961
140,0.0,0.036936816,-0.05557041,-0.3948078,-0.23806745,10.363104,-6.446614,5.458507,-3.7112477e+08,-8.930491e+08,960
141,0.0,-0.7156404,-0.43312436,0.30395713,-0.06302012,8.590741,7.6502304,-5.705869,-3.6585578e+08,,959
142,0.0,-0.012751426,0.006246766,-0.3186928,-0.52268535,15.44668,4.838647,4.9039207,-3.6075555e+08,-4.67956e+09,958
143,0.0,-0.34319273,-1.0166594,0.84656435,-0.40776628,3.901467,-2.192982,-7.770559,-3.2429907e+08,,957
144,0.0,0.60758585,-1.0136917,0.0010749066,0.4839287,3.9195342,-8.372487,6.1948195,-3.229462e+08,,956
145,0.0,-0.08496113,0.8734849,-0.83392173,-0.7994506,26.140873,10.428394,4.413528,-3.1661795e+08,,955
146,0.0,-0.019930303,-0.6736024,0.05314842,-0.05107678,6.3803844,-3.5757065,1.0641705,-3.070197e+08,,954
147,0.0,0.48541006,-0.63168985,-0.62529796,0.9523218,6.737813,-15.679034,-0.7198504,-3.045744e+08,,953
148,0.0,0.13269195,-0.16045561,0.122680455,-0.56405103,11.54607,-9.111114,5.440278,-2.974908e+08,,952
149,0.0,0.5485486,-0.24317636,-0.7394608,0.19450614,10.601474,8.573046,-5.6986804,-2.9679174e+08,,951
150,0.0,-0.053987052,0.5783039,-0.8495049,-0.4817901,21.537893,8.748217,-4.3879952,-2.9582314e+08,,1000
151,0.0,-0.4158178,-0.20751388,-0.093809955,-0.19722186,9.904476,5.874362,-2.783423,-2.8467168e+08,-4.67956e+09,999
152,0.0,-0.05977307,-0.5990707,0.061384987,0.17044468,7.024185,6.970427,-6.068839,-2.8234346e+08,,998
153,0.0,-0.28500533,-0.5607907,0.48979002,-0.077289276,7.369364,-8.074362,6.466387,-2.7959872e+08,,997
154,0.0,-0.61606896,-0.58207715,0.50684565,-0.23752168,7.1762094,-5.052282,-13.822946,-2.7860874e+08,,996
155,0.0,-0.17030354,0.7223158,-0.5814164,-0.9316876,23.749094,-7.164954,8.57495,-2.7557907e+08,,995
156,0.0,-0.73052615,0.24084266,-0.64681345,-0.09864167,16.660332,-7.861099,5.879988,-2.7524134e+08,,994
157,0.0,-0.6981813,-0.018829864,0.10157739,-0.6393699,13.254475,-5.692909,6.165975,-2.7313904e+08,,993
158,0.0,0.34401423,-0.3738292,-0.3745669,-0.09953351,9.194068,-3.5401375,-0.9370561,-2.7281648e+08,,992
159,0.0,-0.5059321,-0.81126326,0.70918775,0.2290802,5.2902126,6.397346,-4.003498,-2.6806262e+08,,991
160,0.0,-0.3796209,-0.53797,0.40795138,0.099062674,1.9191195,-2.1789484,3.2710867,-2.6792267e+08,-4.67956e+09,990
161,0.0,-0.75767964,-0.023811623,0.16640793,-0.49898866,13.1925,-7.8312097,-3.8209326,-2.6658022e+08,,989
162,0.0,-0.5072207,0.14565457,0.05858934,-0.82076985,15.373255,6.3736935,0.0014421479,-2.6585739e+08,,988
163,0.0,0.45862883,-1.0068583,0.36676845,0.18908212,3.961359,6.3450146,-4.4656606,-2.5484867e+08,,987
164,0.0,-0.56527454,-0.70798993,-0.20472255,0.20093799,6.096008,1.773531,-4.6012626,-2.542957e+08,,986
165,0.0,-0.71133745,0.03412311,-0.25155663,-0.3738163,13.921379,-5.2484827,-4.128815,-2.507951e+08,,985
166,0.0,-0.7078022,-0.15328212,0.08847717,-0.2808452,11.629878,6.98623,-1.7141004,-2.5013168e+08,,984
167,0.0,-0.37851587,0.02573702,-0.40954122,-0.35044548,13.814775,4.161917,3.9767625,-2.4323302e+08,,983
168,0.0,0.17885445,-0.4005849,-0.49424595,0.09949684,7.8121367,3.0274487,-9.54879,-2.4179354e+08,-4.67956e+09,982
169,0.0,-0.26924956,-0.14035666,-0.11366059,-0.08183755,11.781634,-9.494906,1.9118466,-2.4161936e+08,,981
170,0.0,-0.6986574,-0.334844,-0.14759067,-0.12888111,7.104908,2.5116708,9.026681,-2.4036566e+08,-4.67956e+09,980
171,0.0,0.7217244,-1.0021741,0.23870012,0.28176647,3.9902062,11.395017,-8.975122,-2.389985e+08,,979
172,0.0,-0.9632061,0.11445354,-0.58421403,-0.019630833,14.960815,5.941513,-2.146273,-2.3654166e+08,,978
173,0.0,0.11543354,-1.0483521,1.1850905,-0.6448511,3.7120867,-3.1125283,-0.32119375,-2.3129894e+08,,977
174,0.0,0.009197081,-0.50523597,0.40586534,0.12072584,7.8876715,-12.197614,2.204042,-2.304721e+08,,976
175,0.0,0.7962358,-0.5004616,-0.5772848,0.15565696,10.766134,6.305981,1.3692747,-2.2778395e+08,-2.9679174e+08,975
176,0.0,-0.6292632,0.5454537,-0.62136173,-0.585218,21.043533,6.616863,12.439598,-2.2701005e+08,,974
177,0.0,-0.32002318,-0.23489761,0.3960699,-0.70143276,10.694179,5.523967,-2.1087675,-2.2215744e+08,,973
178,0.0,-0.99027133,-0.8003019,0.57949346,-0.16833168,7.8437376,3.5099216,1.8288572,-2.1680365e+08,-8.930491e+08,972
179,0.0,0.20655331,-0.8865544,0.90103066,0.04104255,4.7483187,-9.152898,-1.8938185,-2.1531568e+08,,971
180,0.0,-0.7224513,0.38472778,-0.50103176,-0.27319193,18.683374,9.539751,-0.86071306,-2.1031406e+08,,970
181,0.0,-0.37459257,-0.44719216,-0.25683466,-0.22195482,9.353241,-0.7528337,-4.0301995,-2.099322e+08,-8.930491e+08,969
182,0.0,-0.46664348,-0.8894069,0.28093734,-0.0562959,4.7285395,-1.5224766,9.139266,-2.0305096e+08,,968
183,0.0,-0.7200677,0.49111238,-0.3163757,-0.75702083,20.234436,6.9586725,1.4979538,-2.0068605e+08,,967
184,0.0,0.18781008,-1.3043994,1.0053948,-0.00892769,2.4136105,2.8425555,1.925597,-1.9596893e+08,,966
185,0.0,-0.16485217,-0.6926651,0.43963966,-0.23608316,6.2217493,-3.7729042,-6.6274705,-1.9445016e+08,,965
186,0.0,0.7862787,-0.83233416,0.09577284,-0.06394111,5.1346965,-6.5647197,-3.91518,-1.9033942e+08,,964
187,0.0,-0.6201056,-0.016566297,0.14089549,-0.6926154,13.282676,4.783246,-7.255613,-1.8422666e+08,,963
188,0.0,0.58220834,-0.51548105,-0.6002568,0.47141254,7.79055,-8.882949,1.3891112,-1.8259998e+08,,962
189,0.0,-0.042778537,-0.84406495,-0.19708864,0.3179828,5.0494175,1.7855775,11.877005,-1.8045955e+08,,961
190,0.0,-0.43106958,-0.1421123,-0.14288077,-0.44126338,13.515488,-3.4759996,-7.4632306,-1.8014738e+08,-4.67956e+09,960
191,0.0,-0.77085614,0.35293323,0.03327057,-0.56691235,24.10671,-14.846023,2.1216052,-1.8008464e+08,-4.67956e+09,959
192,0.0,-0.031937145,-1.0954565,0.3575818,0.12748937,3.4426131,1.7186017,-2.2327564,-1.7865662e+08,,958
193,0.0,-0.48288745,0.15751648,-0.042749826,-0.7567729,15.5313,-4.9830723,-5.9292707,-1.7633658e+08,,957
194,0.0,-0.5452209,-0.46693274,-0.7533813,0.46933386,8.25689,-1.761033,-9.637198,-1.763207e+08,,956
195,0.0,-0.2503065,-0.8215506,0.51456,-0.47478142,5.213909,1.1787621,2.4534435,-1.6782326e+08,,955
196,0.0,-0.38556468,-0.38246495,-0.032752436,0.21039894,9.104801,-6.664005,2.696391,-1.6638853e+08,,954
197,0.0,0.5969778,-0.6769951,0.22663356,-0.17905898,6.351971,-7.4438796,-8.647929,-1.6577266e+08,,953
198,0.0,0.5054626,-0.38319,0.36966592,-0.8793315,9.097328,2.6056721,-4.049186,-1.6453334e+08,,952
199,0.0,-0.27579895,-0.88821244,0.15510657,0.3952517,4.736815,-3.1039824,-5.08878,-1.6320498e+08,,951
200,0.0,-0.3669207,-0.053981367,0.082905695,-0.44543174,12.820057,-6.90277,5.97262,-1.6149728e+08,,1000
201,0.0,0.021588624,-0.35464242,-0.039747782,0.26587456,9.394091,-10.35058,2.828442,-1.5657448e+08,,999
