,,theta_1,theta_2,theta_3,theta_4,sigma,mu,logL,logL_birth,nlive
labels,,$\theta_1$,$\theta_2$,$\theta_3$,$\theta_4$,$\sigma$,$\mu$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
135,0.0,0.25220233,0.752855,0.40294522,0.3135984,24.226715,-11.35086,-1934.3126,,465
136,0.0,0.16581108,-0.5950885,-0.07746131,-0.28361985,7.0596366,-1.3857588,-1933.91,,464
137,0.0,-0.21755661,0.77411705,0.18890144,0.3943643,24.560957,-1.7144612,-1932.9706,,463
138,0.0,1.0401875,0.7690828,0.3551845,-0.3609159,24.48169,4.922668,-1931.6521,,462
139,0.0,0.36549574,0.72285736,-0.30237764,-0.006164185,23.757536,-9.552622,-1931.6317,,461
140,0.0,1.1446968,0.76547575,0.52526873,0.24516498,24.42495,2.9998693,-1929.8402,,460
141,0.0,-0.815735,0.7641431,-0.25693446,0.46503997,24.403994,2.2724702,-1929.8042,,459
142,0.0,-0.7856005,0.7648567,-0.22768821,0.35384646,24.415215,0.22993082,-1929.727,,458
143,0.0,0.9762331,0.7639651,0.25549942,0.24938087,24.401196,-0.31167936,-1929.3304,,457
144,0.0,-1.0423758,0.69496703,-0.1030314,-0.048677612,23.323877,4.5169144,-1929.3256,,456
145,0.0,1.6114613,0.7551043,-0.43839076,-0.359243,24.262007,-5.3321223,-1929.2275,,455
146,0.0,-1.059289,0.68180585,-0.06964653,0.13133672,23.120108,6.14634,-1928.9729,,454
147,0.0,1.0389559,0.7604715,-0.07420776,-0.24802217,24.346287,0.3619348,-1928.235,,453
148,0.0,-0.13090377,0.68935555,-0.50600916,0.03062486,23.23693,-6.268161,-1925.9453,,452
149,0.0,-0.06689793,-0.037345033,-0.6294522,0.016409548,13.024818,5.1474056,-1925.3232,,451
150,0.0,-0.082559526,0.67939276,0.18811849,-0.27224633,23.08281,-9.0161,-1923.5396,,500
151,0.0,-0.2664106,0.7447407,0.3493541,0.13336752,24.099524,0.9307213,-1923.4308,,499
152,0.0,-0.33503026,0.5894132,-0.056513485,-0.3216893,21.70595,-7.542366,-1921.6595,,498
153,0.0,-0.10367815,0.41155887,-0.6528995,-0.03515887,23.966457,0.97788566,-1920.8341,-2345.3108,497
154,0.0,0.5376802,0.7051707,0.7324217,0.35175183,23.482243,14.992351,-1919.0792,,496
155,0.0,1.3892573,0.728844,-0.2753039,-0.1535101,23.850946,1.3135624,-1918.5739,,495
156,0.0,0.23924895,0.7157151,-0.27758014,0.0238593,23.646248,5.8613005,-1917.9835,,494
157,0.0,0.15483113,0.17305246,-0.102034934,0.43066877,23.353462,-5.1493154,-1914.6489,-1991.5657,493
158,0.0,-0.37296733,0.6060111,-0.53360015,0.1126208,21.95784,-5.798695,-1913.8339,,492
159,0.0,1.3251729,0.70880663,0.6604224,0.37466034,23.538754,7.053098,-1913.4153,,491
160,0.0,0.24588184,0.6596816,-0.22233558,0.10840636,23.389065,-4.4346433,-1913.3704,-2345.3108,490
161,0.0,0.07327037,0.15722908,-0.05484711,-0.60342205,15.52746,9.156484,-1912.2081,,489
162,0.0,-0.60710436,0.17556073,0.3788817,-0.10122091,18.400162,11.822968,-1910.6278,-1925.3232,488
163,0.0,-0.30804512,0.37910405,-0.23016384,0.5413863,23.398281,-0.5288759,-1910.1099,-2345.3108,487
164,0.0,0.057164606,0.64631355,-0.4815958,-0.012114712,22.573444,8.275097,-1909.4927,,486
165,0.0,0.93575555,0.7564618,0.179618,-0.31232703,23.357975,-1.1147705,-1909.0718,-1991.5657,485
166,0.0,0.16176434,0.6014771,0.16602919,-0.08478877,23.214012,-3.765038,-1908.7998,-2345.3108,484
167,0.0,-1.1739236,0.6411233,-0.84799355,0.7373429,22.493856,-1.1753868,-1908.6858,,483
168,0.0,-0.41120425,0.6893468,0.0048319055,-0.10534837,23.236794,1.5579545,-1906.4307,,482
169,0.0,0.18889503,0.684383,-0.03954443,0.41224453,23.159966,2.0728161,-1904.8806,,481
170,0.0,1.0781459,0.6768852,0.956754,0.64335257,23.04407,-6.483901,-1903.8132,,480
171,0.0,-0.34656566,-0.20086892,-0.4032611,0.48839068,11.079533,-6.216625,-1903.4304,,479
172,0.0,-1.0129489,0.6706231,-1.0443121,0.74050224,22.947418,1.8325653,-1902.9325,,478
173,0.0,0.19107045,0.36436766,-0.6193699,-0.16576155,18.391726,-8.52253,-1901.9567,,477
174,0.0,-0.57689697,0.4011502,-0.38529196,-0.08710828,22.530039,-0.5171164,-1900.326,-2345.3108,476
175,0.0,-0.49140924,0.66556144,-0.7587053,0.5090337,22.869389,-0.57457304,-1900.1658,,475
176,0.0,1.1624881,0.6594293,0.8617707,0.82330376,22.774971,-6.6819916,-1899.1698,,474
177,0.0,0.87707627,0.6627145,0.04692292,-0.34576014,22.825537,4.240821,-1898.9114,,473
178,0.0,-0.13971451,0.12389807,-0.08142412,-0.75897944,15.0851555,3.0480206,-1897.6354,,472
179,0.0,0.6657192,0.14763932,-0.7708329,-0.48512414,15.399651,-6.6674776,-1896.8794,,471
180,0.0,0.59656715,0.6548263,0.5613924,-0.1264768,22.704178,-3.659153,-1896.8538,,470
181,0.0,-0.20117041,0.6478976,-0.36680856,0.40843192,22.531458,5.514961,-1896.1577,-1991.5657,469
182,0.0,0.92076576,0.6550318,0.4167058,0.18460947,22.707338,2.9666195,-1895.7001,,468
183,0.0,1.0118711,0.6543547,0.5508104,0.5619666,22.696926,3.3573349,-1895.4922,,467
184,0.0,0.32556716,0.64423966,-0.35602856,0.23280767,22.54163,-2.7666962,-1894.0575,,466
185,0.0,0.35303065,0.64102787,0.50015473,-0.12687922,22.492392,6.8500557,-1893.9529,,465
186,0.0,-0.6159256,0.6429902,-0.42576736,0.7234112,22.522472,3.7585478,-1893.7372,,464
187,0.0,-0.66567576,0.6186557,-0.06099056,0.5309979,22.150383,-4.8112416,-1892.82,,463
188,0.0,-0.009580073,0.27319717,-0.38043922,-0.27409586,22.31256,3.0459774,-1892.559,-1925.3232,462
189,0.0,0.1845141,-0.36037937,-0.09797915,-0.38814977,19.978027,-2.343595,-1891.5765,-1925.3232,461
190,0.0,-0.35436141,0.61457497,0.1724803,-0.21921527,22.088184,6.184487,-1891.394,,460
191,0.0,0.1105831,0.6222353,-0.15319051,0.4448964,22.20499,7.972093,-1890.7344,,459
192,0.0,0.16792813,-0.36187795,0.774141,0.38822958,22.37993,3.1636567,-1889.2965,-1991.5657,458
193,0.0,1.0321468,0.6330658,0.9586049,0.8817879,22.37048,4.0235825,-1888.755,,457
194,0.0,-0.49745888,0.5938967,-0.22357443,-0.34024605,21.773895,-1.5519965,-1887.0944,,456
195,0.0,-0.33234492,0.6193017,0.005640207,0.10847852,22.160234,2.6275365,-1884.7334,,455
196,0.0,0.66251606,0.618389,0.39527142,0.6005372,22.146318,-1.0417318,-1883.9803,,454
197,0.0,-0.8673641,0.46161315,-0.70431787,0.46691656,19.799885,-2.3343704,-1883.4476,,453
198,0.0,0.30899405,0.6171515,-0.11847362,-0.25020906,22.127453,0.91467905,-1883.3917,,452
199,0.0,-0.74770343,0.562871,0.2944823,-0.39568967,21.30516,5.059368,-1882.4314,,451
200,0.0,-0.4320683,-0.082166426,0.7658031,-0.20215286,22.040855,1.4174527,-1881.6283,-1925.3232,500
201,0.0,-0.2887563,-0.5081272,-0.27239716,0.9094089,3.5151918,6.563813,-1880.5588,-1925.3232,499
202,0.0,-0.40503147,0.51691294,0.1581558,0.518594,20.617216,-11.392106,-1880.4171,,498
203,0.0,-0.039029825,0.5050808,0.50819457,-0.057191618,21.155664,12.137257,-1880.3428,-1925.3232,497
204,0.0,0.73567295,0.6003461,-0.058392536,0.33713424,21.871761,6.606163,-1880.2736,,496
205,0.0,0.46956667,0.25115097,0.34154987,0.5299712,21.790625,7.2432356,-1879.1055,-1991.5657,495
206,0.0,1.0188353,0.60080844,0.8739414,0.4750053,21.878784,4.3140674,-1878.4479,,494
207,0.0,0.041518968,0.5965689,0.13436581,-0.3164621,21.814432,2.2960682,-1877.1031,,493
208,0.0,-0.44077986,0.51695263,0.34410614,-0.052226357,20.617805,-8.453867,-1876.9238,,492
209,0.0,-0.35705638,0.50241536,0.4709207,-0.11531486,20.401817,12.073196,-1876.7283,,491
210,0.0,0.65324867,0.58582544,0.4300586,-0.021860162,21.651628,0.30551288,-1873.2297,,490
211,0.0,0.789765,0.5777067,0.15577799,0.17869054,21.528873,-4.152011,-1872.3911,,489
212,0.0,-0.38956192,-0.006601039,-0.011024739,-0.24124031,12.157605,5.601453,-1870.5002,-2345.3108,488
213,0.0,-0.38537028,0.28261492,0.22930086,0.23296088,20.518534,9.582754,-1870.4255,-1991.5657,487
214,0.0,0.36436942,0.63894814,0.6028774,-0.15298022,21.501398,3.257911,-1870.3762,-2345.3108,486
215,0.0,0.08575334,0.5707677,0.29769206,0.24228929,21.42414,-3.1295972,-1870.0719,,485
216,0.0,-0.14410226,0.7482878,-0.11091503,0.4127819,21.231869,-5.1923003,-1869.5675,-1991.5657,484
217,0.0,-0.06661911,-0.16633868,-0.3822399,0.26564363,11.477562,9.368863,-1869.4446,,483
218,0.0,0.25725678,0.572062,0.2568241,-0.027866982,21.443663,1.9908084,-1868.7877,,482
219,0.0,0.67520803,0.5162697,0.26296392,-0.12710513,20.60764,-12.266812,-1868.1156,,481
220,0.0,1.0364131,0.5692182,0.37283587,0.46265644,21.400776,1.158797,-1867.7306,,480
221,0.0,0.24485609,-0.35399428,-0.6628554,0.25100103,9.4008875,-4.8046994,-1867.596,,479
222,0.0,-0.18573779,0.578833,-0.6973177,0.27595407,21.024303,-2.553953,-1866.5602,-2345.3108,478
223,0.0,0.3016475,-0.5929379,-0.48960793,0.26746634,7.078826,6.1391664,-1866.214,,477
224,0.0,0.26941672,0.5552414,-0.48414692,0.016484262,21.190424,4.0254354,-1865.7178,,476
225,0.0,-0.49411172,0.30114314,0.28838798,-0.6641166,17.497215,-3.7625957,-1865.5176,,475
226,0.0,-0.70910835,0.49692175,0.38570675,-0.30376297,20.320404,6.275604,-1864.4856,,474
227,0.0,-0.035012465,0.5197611,-0.17141236,0.051244482,20.65962,-5.1311216,-1862.3254,,473
228,0.0,0.86683536,0.33327395,0.45526743,0.6852977,21.096235,-1.9574628,-1861.4431,-2345.3108,472
229,0.0,0.17085966,0.04617877,-0.112536505,0.2899779,21.010012,-1.8573511,-1861.3263,-1925.3232,471
230,0.0,0.1568352,0.5359429,0.35078466,0.01350924,20.901138,2.4860413,-1856.9332,,470
231,0.0,-0.43746004,0.5340414,0.106348865,-0.3334617,20.872707,1.5664572,-1856.2401,,469
232,0.0,-0.082564026,0.5247128,-0.15213421,0.8695427,20.733425,5.252863,-1855.0682,,468
233,0.0,-0.4270682,0.51111025,-0.17845173,0.7446213,20.53091,6.6336703,-1855.0499,,467
234,0.0,0.19491056,0.50790673,0.65195537,0.46759975,20.483315,10.195921,-1855.0161,,466
235,0.0,-0.08541909,0.52285063,0.3581342,0.19042443,20.705662,5.169445,-1854.6925,,465
236,0.0,1.0590552,0.52964795,0.17885965,-0.015192777,20.807068,0.7244626,-1854.5399,,464
237,0.0,0.11986713,0.521615,-0.47619936,0.092057176,20.68724,3.5709307,-1854.1239,,463
238,0.0,-0.1982234,-0.04923273,0.82419723,0.092611186,20.433945,7.038467,-1853.8912,-1925.3232,462
239,0.0,0.8310229,0.39522424,0.5032612,-0.054899406,20.75492,-0.9300886,-1853.6913,-1925.3232,461
240,0.0,-0.29209733,0.50196135,-0.19224358,0.7189883,20.395088,7.642709,-1853.5743,,460
241,0.0,0.56613696,0.5137923,0.7951287,0.61625415,20.570784,-7.911782,-1853.1039,,459
242,0.0,-0.74917483,0.5915513,-0.045154672,-0.35665822,14.379935,-4.4367237,-1852.4055,-1882.4314,458
243,0.0,-1.3913643,0.11659984,0.29669517,-0.014382905,14.989034,1.0977081,-1851.8792,,457
244,0.0,-0.60293126,-0.017180229,-0.21802448,0.4182451,9.245003,7.7889495,-1851.5243,-1991.5657,456
245,0.0,0.5372998,0.51456475,0.5140057,0.30608302,20.582275,-4.41529,-1851.4406,,455
246,0.0,-0.76463073,0.49954155,-0.42322537,0.72707856,20.359215,-2.388907,-1850.6049,,454
247,0.0,0.15974103,0.51269144,0.21438187,-0.45758784,19.629726,-7.665915,-1850.3308,-1925.3232,453
248,0.0,-0.11250908,0.45900032,-0.121993296,-0.28906697,19.761559,-4.334516,-1849.84,,452
249,0.0,0.45852992,0.49220425,0.28804067,0.12331633,20.250586,-7.7465634,-1849.7368,,451
250,0.0,0.21100509,0.5044151,0.36659104,0.7753442,20.431482,-5.9316006,-1849.5704,,500
251,0.0,-0.52841663,0.2415619,-0.32462603,0.059277806,16.670218,5.8503733,-1848.9551,,499
252,0.0,-0.001286616,0.5098294,-0.13890044,0.64057,20.511875,-1.5019107,-1848.709,,498
253,0.0,0.2392428,0.5060715,-0.26372692,0.17252731,20.456064,-1.1018766,-1847.465,,497
