,,phi_1,theta_1,theta_2,sigma,mu,init_y_1,logL,logL_birth,nlive
labels,,$\phi_1$,$\theta_1$,$\theta_2$,$\sigma$,$\mu$,$y_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
70,0.0,-0.38637295,0.02380938,-0.78610545,13.790326,-8.716587,2.97023,-1.3573457e+09,,980
71,0.0,-0.7470923,-0.41672325,0.26802975,8.755366,15.468048,8.019156,-1.3427534e+09,,979
72,0.0,0.16255765,-0.7649301,0.120675266,5.6427712,8.519178,2.3007884,-1.2841106e+09,,978
73,0.0,-0.70705575,-0.30949634,-0.5249016,9.873859,-3.3991406,1.4315919,-1.2505244e+09,,977
74,0.0,0.30723247,-1.1526159,0.44308963,3.1345654,-4.570775,6.5842557,-1.2289623e+09,,976
75,0.0,-0.716188,-0.1781037,-0.39749575,8.363494,7.1527476,0.3772992,-1.2120808e+09,-3.197771e+09,975
76,0.0,-0.47698566,-0.5963588,0.239534,7.0483165,10.439889,-3.5193515,-1.1817924e+09,,974
77,0.0,0.26856625,-0.84310275,-0.108336784,5.0563774,1.1638358,6.550753,-1.1444031e+09,,973
78,0.0,0.7217244,-1.0021741,0.23870012,3.9902062,11.395017,-8.975122,-1.1361048e+09,,972
79,0.0,0.25242877,-0.802548,0.064155065,5.3554163,6.1865945,-8.378583,-1.1015365e+09,,971
80,0.0,-0.4997262,-0.6832412,0.10879683,6.299865,-5.762226,-7.502515,-1.0559048e+09,,970
81,0.0,-0.84975743,-1.0872635,0.47005254,3.4884617,-2.3032427,-8.8022995,-1.0322345e+09,,969
82,0.0,-0.75044656,-1.0489954,0.801404,3.708311,-5.0037394,-4.9493823,-1.0079679e+09,,968
83,0.0,-0.27579895,-0.88821244,0.15510657,4.736815,-3.1039824,-5.08878,-9.936274e+08,,967
84,0.0,-0.7530468,-0.76817393,0.8054578,5.6176143,10.17136,1.8497356,-9.5920346e+08,,966
85,0.0,0.18940884,-0.60750586,-0.2695978,6.9494443,-3.1966827,-6.327398,-9.113746e+08,,965
86,0.0,-0.13216516,-0.7220251,0.13428259,5.9822454,-6.370064,8.658787,-8.7083974e+08,,964
87,0.0,-0.6052072,-1.0679785,0.937845,3.5980752,5.650892,-5.402622,-8.621135e+08,,963
88,0.0,0.08958537,-0.29436013,-0.4698915,10.03755,-7.4662323,7.619373,-8.272973e+08,,962
89,0.0,-0.10432922,-0.6768985,0.029051509,6.3527784,5.7022676,5.2003374,-8.042861e+08,,961
90,0.0,-0.36381164,-0.8286032,0.4110909,5.162013,-6.0357103,2.882648,-7.660789e+08,,960
91,0.0,0.52501905,-1.0624374,0.5448945,3.6300123,-9.819836,-0.005844417,-7.248626e+08,,959
92,0.0,-0.10813963,-0.7832358,0.33590192,5.5017395,7.286821,1.4401879,-7.200117e+08,,958
93,0.0,0.436845,-0.8499434,0.21447429,6.0972123,9.967732,-12.821766,-6.4677184e+08,-3.197771e+09,957
94,0.0,0.15016373,-0.6974158,0.21388598,6.1825986,9.446526,3.1593199,-6.447798e+08,,956
95,0.0,0.45862883,-1.0068583,0.36676845,3.961359,6.3450146,-4.4656606,-5.902517e+08,,955
96,0.0,-0.27562138,0.006821439,-0.6916817,13.575679,-8.112901,-3.654434,-5.88494e+08,,954
97,0.0,0.063235246,-0.43901715,-0.18029039,8.532017,-8.189,6.542008,-5.655935e+08,,953
98,0.0,-0.09340808,-1.3290305,0.71714187,2.309369,-1.8862282,-4.48858,-5.4113005e+08,,952
99,0.0,-0.05977307,-0.5990707,0.061384987,7.024185,6.970427,-6.068839,-5.268805e+08,,951
100,0.0,-0.10062576,-0.46194974,-0.42869076,8.305628,1.8733692,-7.5462027,-5.050622e+08,,1000
101,0.0,0.7793569,-1.0375736,0.057130188,3.7757602,-0.81347334,0.48414776,-5.048315e+08,,999
102,0.0,-0.71209663,-0.7851092,0.14462967,5.4874344,-2.5556853,-2.2405224,-4.995188e+08,,998
103,0.0,0.25551033,-0.95883805,0.17616227,6.699756,-4.1664667,-1.0089484,-4.5930627e+08,-5.268805e+08,997
104,0.0,-0.40332463,-1.1941731,0.588141,2.9233828,-1.7199593,3.456979,-4.4959366e+08,,996
105,0.0,-0.021135671,-0.7793858,0.51266706,5.5312114,-8.1805525,7.5767198,-4.3394634e+08,,995
106,0.0,0.00075248675,-1.1263735,0.84704334,3.2734396,4.750014,-9.283993,-4.1476218e+08,,994
107,0.0,-0.022671184,-0.727647,0.26773968,6.9670405,7.410043,-0.26324612,-4.1388138e+08,-5.268805e+08,993
108,0.0,0.7060346,-0.48043677,-0.4110963,8.125622,6.1478887,-5.0988326,-4.087214e+08,,992
109,0.0,0.33429027,-1.3994874,0.9705526,2.029857,-3.4497712,2.319989,-4.019081e+08,,991
110,0.0,-0.24994054,-0.3956031,-0.26883003,8.969905,4.7969265,-4.151463,-4.0170272e+08,,990
111,0.0,-0.6667017,0.12825735,-0.7842626,16.776346,6.89375,-4.078606,-3.993899e+08,-3.197771e+09,989
112,0.0,-0.031937145,-1.0954565,0.3575818,3.4426131,1.7186017,-2.2327564,-3.926754e+08,,988
113,0.0,-0.50059247,-0.04612228,-0.7933106,12.916599,2.7576938,3.133939,-3.918055e+08,,987
114,0.0,-0.76999265,-0.4252371,-0.25885752,8.669692,-2.9989138,2.3479352,-3.8021738e+08,,986
115,0.0,-0.74005914,-0.83387136,0.4877737,5.1234684,3.6322157,-3.9774091,-3.6450448e+08,,985
116,0.0,-0.5069712,-0.86302125,0.03209635,4.91358,-1.0451044,2.714495,-3.6224618e+08,,984
117,0.0,-0.11773093,0.10908392,0.19531173,2.070345,-4.534778,-0.3387134,-3.6041258e+08,-5.268805e+08,983
118,0.0,-0.35408348,-0.5234029,0.3181099,4.5847554,-4.9913645,5.2458434,-3.5209914e+08,-3.197771e+09,982
119,0.0,0.24371794,-0.8543488,0.4069139,4.9754243,-6.710853,1.9570912,-3.4800202e+08,,981
