,,phi_1,phi_2,sigma,mu,init_y_1,init_y_2,logL,logL_birth,nlive
labels,,$\phi_1$,$\phi_2$,$\sigma$,$\mu$,$y_1$,$y_2$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
80,0.0,-0.36850873,-0.8983457,4.6669154,-24.261301,-23.050953,-83.25251,-83939.74,,970
81,0.0,0.35103604,-0.9514186,4.312053,-36.14517,15.847821,-24.08843,-82976.05,,969
82,0.0,-0.29174498,-0.97217023,4.178406,-19.861078,37.92362,-12.556274,-82794.5,,968
83,0.0,0.47757083,-0.8263978,5.178206,-56.87582,-6.194805,35.919724,-80718.375,,967
84,0.0,-0.54476297,-0.46261573,8.299105,92.651764,7.8249707,61.211006,-80186.51,,966
85,0.0,-1.3515854,-0.93075454,4.4479823,-10.024162,-9.673202,-10.00965,-79589.49,,965
86,0.0,-0.5816613,-0.67480445,6.370308,-37.28284,9.272726,-36.238132,-79194.51,,964
87,0.0,0.50025153,-0.49825236,7.9542704,-130.02837,-39.53738,-70.64376,-76047.484,,963
88,0.0,-0.8518425,-0.9666146,4.2139063,42.24784,-0.6475877,60.969185,-74517.055,,962
89,0.0,-0.9756007,-0.7946932,5.414624,-19.843956,12.974851,-73.47254,-73810.266,,961
90,0.0,-0.19485345,-0.23952308,10.64233,-117.08713,53.269417,-45.36218,-73097.96,,960
91,0.0,0.84715116,-0.8748168,4.8302803,-68.68379,40.57513,19.816069,-72980.4,,959
92,0.0,-1.3360385,-0.5577206,7.3974714,-30.107746,31.65972,-58.385704,-72291.695,,958
93,0.0,-1.2240989,-0.557884,7.3959737,-31.79941,-21.137316,-9.682502,-71790.07,,957
94,0.0,-0.6960647,-0.37379393,7.2286167,76.920906,-23.052246,19.840387,-71568.125,-137824.77,956
95,0.0,-0.25550485,-0.68039143,6.3236046,72.79475,-32.46348,-98.61359,-71531.09,,955
96,0.0,0.6870207,-0.9572827,4.2739964,-43.92883,-81.61272,-15.618375,-70830.28,,954
97,0.0,0.7057268,-0.7485831,5.7706385,-81.769646,107.13017,39.444996,-70597.66,,953
98,0.0,0.74905115,-0.93118185,4.445143,-50.028866,35.36517,34.87701,-69084.82,,952
99,0.0,-0.17931193,-0.6922368,6.2252865,72.54759,-28.4217,3.203082,-68144.57,,951
100,0.0,-0.7945563,-0.30194667,9.955329,-65.28439,50.721024,65.76569,-66329.62,,1000
