,,phi_1,theta_1,theta_2,theta_3,theta_4,theta_5,sigma,mu,init_y_1,logL,logL_birth,nlive
labels,,$\phi_1$,$\theta_1$,$\theta_2$,$\theta_3$,$\theta_4$,$\theta_5$,$\sigma$,$\mu$,$y_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,,,
63,0.0,0.012426548,-0.64335644,0.130152,-0.3678462,0.50740093,-0.30741933,6.637129,10.068225,8.087587,-1.2520542e+10,,987
64,0.0,0.78436095,-0.9313616,0.45234206,-0.7597992,0.6563788,-0.3258405,4.4439487,-8.968043,1.8765869,-1.2472283e+10,,986
65,0.0,0.77377725,0.18942283,-0.67622566,-0.35531712,0.066830985,-0.21676792,15.959763,-3.8674562,1.2738637,-1.2162464e+10,,985
66,0.0,-0.25906825,0.21291144,0.36097026,-0.6589965,-0.5228902,-0.24801598,16.278263,8.845804,-1.8827829,-1.2131279e+10,,984
67,0.0,0.4932481,0.7500317,-0.47250962,-0.4971741,-0.35497594,-0.39438644,24.182442,7.617376,6.1365623,-1.0797884e+10,,983
68,0.0,-0.09585464,-0.89322245,0.29145795,0.28701952,-0.57856435,0.15879214,4.70217,-4.8918376,4.3125544,-1.0454646e+10,,982
69,0.0,0.30188894,-0.8079097,-0.5657483,0.1813424,0.6423521,-0.3142132,5.315242,4.3720703,-2.8517056,-1.0140865e+10,,981
70,0.0,-0.3613401,0.34121397,-0.5496953,-0.7705213,0.04508656,0.013286605,18.062166,4.5647073,5.294844,-9.980616e+09,,980
71,0.0,-0.49800235,-0.6012472,0.03769205,-0.25402692,-0.6673769,0.56487614,7.004855,-1.5450568,-0.25187626,-9.486402e+09,,979
72,0.0,0.13850206,-0.54678655,-0.5701164,-0.013985444,0.20297672,0.16666092,7.4980855,8.430332,-5.9201865,-9.389281e+09,,978
