,,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,sigma,mu,logL,logL_birth,nlive
labels,,$\theta_1$,$\theta_2$,$\theta_3$,$\theta_4$,$\theta_5$,$\theta_6$,$\theta_7$,$\theta_8$,$\theta_9$,$\sigma$,$\mu$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,,,,,
86,0.0,-0.8276277,-0.57221776,0.8160995,-0.40251184,-0.054359317,0.16513978,0.0349271,0.08162664,-0.019632326,7.265297,-3.9202156,-3590.337,,964
87,0.0,-0.05264227,-0.49970758,-0.00858195,0.2689092,0.108617075,-0.5790261,-0.010152582,-0.029617554,-0.14348067,7.940366,2.5323756,-3567.4263,,963
88,0.0,-0.8544753,0.16025297,-0.21620077,-0.019814638,-0.15881741,0.26585847,-0.023731517,-0.08463426,0.015062331,15.567856,-2.694416,-3526.0894,,962
89,0.0,0.14754808,-1.1487547,0.44898063,-0.017112007,-0.33009043,0.5397462,-0.34135032,-0.0347338,0.40149185,3.1547287,-5.7890263,-3517.4553,,961
90,0.0,0.07370542,-0.7103926,-0.38546842,0.53805596,0.33308503,-0.06446871,-0.5622096,-0.24229158,0.3705651,6.076437,-5.621433,-3507.8533,,960
91,0.0,-0.029610679,0.6438635,0.2419025,-0.33033183,-0.24913749,-0.54695415,-0.35818407,-0.25948328,0.021302298,22.535862,9.635451,-3438.0632,,959
92,0.0,-0.43309647,-0.83490914,0.041420273,0.76713866,-0.24372548,-0.7496824,0.30046156,0.093629114,0.2007779,5.115897,-1.2091103,-3391.7932,,958
93,0.0,-1.4712431,0.53246,-1.2230984,1.4614275,0.45537183,-0.49495965,-0.15193228,-0.5407235,0.48824966,20.849072,3.9016285,-3365.9448,,957
94,0.0,-0.83969146,0.023330849,0.21892008,-0.488236,0.29057667,-0.03666118,-0.43987283,0.7741118,-0.37819168,13.784258,-3.4654646,-3205.732,,956
95,0.0,-0.30125773,0.38832697,0.12637211,-0.36866605,0.17737116,-0.22786422,-0.5788855,0.3874362,-0.5610869,18.73511,3.6707532,-3172.305,,955
96,0.0,0.15971392,-0.38357204,-0.6995236,0.3074176,0.805102,-0.10957132,-0.47285375,-0.4674586,0.16493136,9.093391,8.562832,-3146.7654,,954
97,0.0,0.20266955,0.08816339,-0.054463465,-0.46519628,-0.7415177,-0.15729155,0.28456733,-0.122619785,0.2338609,14.617033,-8.823209,-3104.4353,,953
98,0.0,-0.5884556,0.15893921,-0.9689303,0.5597781,0.024750624,0.5846856,-0.4263357,0.00062698516,-0.28405067,15.5503,3.47346,-3068.4514,,952
99,0.0,-0.16761011,0.041568615,-0.49835148,-0.17266396,0.3106801,0.48070794,-0.20850627,-0.16735648,-0.52867675,14.016333,4.417641,-3059.4624,,951
100,0.0,-0.06785061,-0.15718293,-0.5778993,-0.13629536,-0.5171591,0.036585677,0.27591798,0.11934677,0.11787496,11.584269,3.7611127,-3058.1646,,1000
101,0.0,-0.7261818,-0.0055041746,-0.34734204,-0.072223715,0.119613655,0.293777,0.14837827,0.17064798,-0.53944474,13.904844,-0.5394408,-3037.3047,-3059.4624,999
102,0.0,0.590936,1.1765265,-0.2013588,-0.30838513,-1.3166485,-0.3423666,-0.6346627,0.1812902,-0.060583144,29.02242,7.485523,-2981.7395,-7929.8027,998
103,0.0,-1.0433878,0.6671079,0.35002086,-1.182652,0.8479129,-0.51645595,-0.070639834,0.2907378,-0.11294032,22.89322,-10.400047,-2978.4075,,997
104,0.0,0.7800777,0.0022734487,-0.19095133,-0.18310468,0.0014295982,-0.31618437,-0.7810687,-0.4090067,0.28287005,13.518476,-5.2044344,-2861.2974,,996
105,0.0,-0.7877023,-0.69405943,0.7410846,0.36045298,-0.33652592,0.35694414,-0.3182514,-0.34717816,0.37687624,6.2102437,-4.425782,-2854.6387,,995
106,0.0,-0.33770788,-0.10650161,0.13819343,-0.09375873,-0.46134606,0.4629882,-0.14648086,-0.40707716,0.20488839,13.754394,8.937615,-2837.8313,-7929.8027,994
107,0.0,-0.5830877,-0.7135971,0.28974578,0.4914081,-0.33914065,-0.3254577,0.11819662,0.72452843,-0.39205334,6.050398,-3.1707852,-2816.583,,993
108,0.0,-0.19108704,0.007422069,-0.0007087106,-0.34683,0.15972301,-0.18635246,0.2611347,-0.024262067,-0.5413164,13.583242,-3.4327788,-2809.4038,,992
109,0.0,-0.62737036,-0.46492964,0.33466062,-0.30249494,0.33527598,-0.57773685,0.20913921,0.51697516,-0.17452985,8.2764635,-3.9536614,-2809.0266,,991
110,0.0,-0.04888107,-0.3697533,-0.49822316,0.40614763,-0.4215315,-0.023860957,0.2323407,0.54448533,-0.17644987,8.790023,13.9967165,-2710.2483,-3059.4624,990
111,0.0,0.28219897,-0.26750678,0.22376914,-0.51540965,-0.21610808,-0.37646446,-0.015372386,0.3940346,-0.2152037,10.33142,7.6638103,-2605.918,,989
112,0.0,-0.6099052,-0.4274615,0.30657393,0.90979713,-0.7499116,-0.2344613,0.42755517,0.22428729,-0.48959363,9.427755,-6.40939,-2603.5012,-7929.8027,988
113,0.0,0.21752007,0.029730706,-0.5325173,-0.9144664,-0.38677996,0.020327954,0.21882336,0.6714109,-0.04930228,13.865499,8.605589,-2602.0852,,987
114,0.0,0.52637804,0.5014728,-0.32567826,-0.12892784,-0.13190684,-0.5868621,-0.36056253,-0.31299755,0.18733416,20.38784,-12.614307,-2563.8235,,986
115,0.0,-0.89643496,0.19054706,-0.37183294,0.11444393,-0.23197956,0.6299858,-0.41240084,0.38199577,-0.2816121,15.974949,4.690794,-2541.03,,985
116,0.0,-0.30739802,-0.6038559,-0.23418197,0.63590974,-0.10693924,-0.084532596,-0.4439836,0.14067428,0.37295914,6.981728,-4.7721524,-2539.0623,,984
117,0.0,0.03855625,-1.2259202,-0.34619257,0.753364,0.85090417,-0.4306432,-0.59891593,0.18062858,0.2084188,2.7691574,4.1093416,-2517.258,,983
118,0.0,-0.030104838,0.5577141,-1.0875387,-0.2583866,-0.64186865,0.24126379,0.11692358,0.24980348,-0.07814348,21.227587,3.6131623,-2499.5398,,982
119,0.0,0.24072301,-0.30501336,-0.23823236,-0.4298208,0.60013175,0.41569275,-0.026681744,-0.30837432,-0.61344373,9.922194,-5.9774632,-2483.626,,981
120,0.0,-1.5329205,1.275473,-0.77006614,-0.04107859,0.01945704,-0.10853337,0.2897732,-0.039788455,0.054123055,32.79374,-5.291343,-2477.4102,,980
121,0.0,-0.30264163,-0.6854101,0.031764794,0.16259128,0.16842215,0.54542774,-0.31047735,-0.5280985,0.09571909,6.2818336,3.5537453,-2470.7505,,979
122,0.0,0.31201938,0.94501686,-0.20829375,-0.28647202,-1.131792,-0.27283552,-0.53066736,0.07601813,0.23032981,27.295504,6.820759,-2466.6946,,978
123,0.0,-1.2418574,0.5526816,0.013549881,-0.13787653,0.2978651,-0.7260104,0.20296146,0.12277499,-0.045774985,21.151974,-0.38134146,-2455.6467,,977
124,0.0,0.2626325,0.12225453,-0.8070462,-0.20709515,-0.08638787,0.38321522,0.17118286,-0.26411238,-0.4577923,15.563088,4.5205836,-2452.157,-3059.4624,976
125,0.0,-0.39214304,-0.11118966,-0.47268,-0.43373293,-0.13750398,0.39961782,0.21684882,0.17796856,-0.08612538,12.127592,4.6833816,-2451.4717,,975
126,0.0,-1.1525358,-0.13004607,0.39572865,0.36530823,-0.31334278,0.02753801,-0.18682891,-0.04169198,0.16190489,11.903378,3.8439586,-2428.861,,974
127,0.0,-1.064134,0.39640117,0.4997836,-1.143596,0.7307488,0.33436897,-0.84462965,0.5882238,-0.38247848,18.85136,-2.4431303,-2362.2236,,973
128,0.0,0.21764337,-0.11839778,-0.42960978,-0.9603505,-0.089893945,-0.18434945,0.03148287,0.44679543,0.17475666,12.041644,2.9504616,-2356.3682,,972
129,0.0,-0.4254785,-0.37973055,0.048867732,0.03351438,-0.17246044,-0.381189,0.3542795,-0.055024873,0.21442807,9.133015,-3.1843812,-2346.8796,,971
130,0.0,-0.39973938,-0.41608062,0.56364876,-0.67035395,0.064582646,0.3157765,-0.44615746,-0.011730112,0.32474148,8.761852,-4.5379434,-2336.713,,970
131,0.0,-0.37298974,0.30048063,-0.11024171,-0.14852494,-0.054103162,-0.70281565,0.39792633,-0.07895366,-0.09839815,17.48793,4.6668887,-2304.028,,969
132,0.0,-0.6699025,-0.119453765,0.5638954,0.54965514,-1.18109,0.3903319,0.21711896,-0.0559649,-0.30137062,12.029078,9.237894,-2300.2046,,968
133,0.0,0.20828505,0.06180292,0.38414735,-0.105541885,0.039640576,-0.67571616,-0.22379625,0.08578392,-0.33007812,14.275829,-9.537663,-2291.5073,,967
